"","Bee","AverageOvaryWidth","AverageWingLength","Infl","Degree","Close","Eigen","Between","QR","Queen","boutDegree","boutBetween","boutClose","boutEigen","bodyDegree","bodyBetween","bodyClose","bodyEigen","AverageBoutLength","Presence","AntPresence","mean_vel","move_perc","N90.Day4","MRSD.Day4","Initiation.Freq","clust","ovary_idx","Trial","QR_Queen_Condition","ID"
"1","20221123_1543_AmericanoLatte_QL_ArUcoTag#10",0.7175,2.578,0,6711.035254775,117.69836687825,0.1427357483,0.0348852041,0,0,712.007966415,0.032744898,10.529156694025,0.165285385875,4934.5252630575,0.02583673475,88.2418869015,0.174466022475,9.228814367075,0.809105622575,0.784136072475,7.5574144149,0.68011810015,63,865.1800307,0.565471605125,0.047057234475,0.278316524437549,"20221123","Queenless","20221123 Queenless"
"2","20221123_1543_AmericanoLatte_QL_ArUcoTag#11",NA,NA,0,4659.9535361,102.93045457225,0.10277434075,0.012076530625,0,0,564.7735656525,0.01849829935,9.501688946725,0.14008918175,3179.922296325,0.00657397955,72.28371878925,0.110322213975,8.32661969405,0.833391388075,0.810973042425,6.74635586825,0.6081300793,42,1211.361212,0.58913843725,0.04075359975,NA,"20221123","Queenless","20221123 Queenless"
"3","20221123_1543_AmericanoLatte_QL_ArUcoTag#13",NA,NA,0,6415.61094585,123.130120954,0.14985707705,0.03545153055,0,0,652.4345251675,0.0258945579,10.3807454697,0.161496152825,2898.8433008,0.004311224525,70.12597007875,0.100752264225,9.9796958926,0.877899368675,0.83904980355,7.270320288,0.705451277275,40,708.7321596,0.548425276475,0.048367123475,NA,"20221123","Queenless","20221123 Queenless"
"4","20221123_1543_AmericanoLatte_QL_ArUcoTag#14",0.6415,2.4,0,2913.71768888,76.22512094525,0.056169313225,0.007352891175,0,0,377.268621225,0.004081632675,7.2482095829,0.0820026523,2802.49641635,0.008714285775,66.3405029165,0.0848920562,7.860037635075,0.789177064925,0.765340825225,5.489534083325,0.5440174496,83,1143.695653,0.59496914795,0.028115162625,0.267291666666667,"20221123","Queenless","20221123 Queenless"
"5","20221123_1543_AmericanoLatte_QL_ArUcoTag#15",1.031,2.595,0,2966.318565225,84.8165395565,0.072673400375,0.016169217725,0,0,347.81401428,0.0048741497,7.782086129875,0.093753091325,3035.125790175,0.028336734675,77.38908656575,0.117648950225,8.610886347825,0.92038552775,0.90518946245,4.164933558825,0.574535127175,67,1216.985779,0.42596281135,0.03062697295,0.397302504816956,"20221123","Queenless","20221123 Queenless"
"6","20221123_1543_AmericanoLatte_QL_ArUcoTag#16",NA,NA,0,3685.060226775,93.36117556475,0.09835432595,0.0152346939,0,0,390.1673038275,0.005359693975,8.12148600395,0.10150846125,3139.2269117,0.01683163265,77.39542574525,0.115462703525,9.512005302025,0.8826063479,0.8614635558,4.4568741611,0.52992764915,86,994.5947375,0.43494104755,0.032516702175,NA,"20221123","Queenless","20221123 Queenless"
"7","20221123_1543_AmericanoLatte_QL_ArUcoTag#17",0.5865,2.3295,0,3105.1979516725,70.99823869875,0.0491657562,0.002836734725,0,0,429.064226865,0.00072448985,6.887909171725,0.07409343605,3939.3865222875,0.01860374155,71.95172078325,0.0969826255,7.460622488125,0.64127480415,0.62221588825,6.126439024,0.4616320676,86,983.4311483,0.568205384925,0.0255964739,0.251770766258854,"20221123","Queenless","20221123 Queenless"
"8","20221123_1543_AmericanoLatte_QL_ArUcoTag#18",0.31775,2.527,0,3964.890359,85.2681718466667,0.0719777811282051,0.0111695447435897,0,0,461.685835479487,0.0050069772051282,7.32637238994872,0.090832675,3683.85554138462,0.0132740275897436,70.211805670718,0.101053548615385,8.94366733969231,0.720672140589744,0.708405027179487,5.4379598174359,0.46820603551282,60,1494.931266,0.429028180692308,0.0304595433589744,0.125741986545311,"20221123","Queenless","20221123 Queenless"
"9","20221123_1543_AmericanoLatte_QL_ArUcoTag#19",0.866,2.702,1,7999.01694025,123.05218595175,0.16441858245,0.0374387756,0,0,783.7270479925,0.024204081625,10.554218421675,0.176779707675,4289.846076525,0.013296768725,81.38934039375,0.13442997895,9.872739782575,0.78341521975,0.733222197125,8.492966534575,0.708262330675,36,505.0123036,0.452375831875,0.048841020875,0.320503330866025,"20221123","Queenless","20221123 Queenless"
"10","20221123_1543_AmericanoLatte_QL_ArUcoTag#2",0.68975,2.6925,0,1671.608953515,62.80470647825,0.04138886915,0.0028792517,0,0,198.812190491,0.001347789125,5.686121557275,0.055201285075,1279.82504777,0.002783163275,51.655968514,0.050162355575,8.332674536025,0.92464909525,0.8840186303,3.33945774695,0.49641916305,81,1279.922933,0.5721833835,0.0229725062,0.256174558960074,"20221123","Queenless","20221123 Queenless"
"11","20221123_1543_AmericanoLatte_QL_ArUcoTag#20",1.0265,2.576,1,7609.092209825,125.75867728775,0.15567343935,0.03623129255,0,0,737.3597086475,0.015533163225,10.470708326875,0.165682705825,5927.14188365,0.0421352041,95.06849587075,0.18819475715,10.356483655275,0.762272986875,0.732099949275,5.387243486475,0.60681743465,47,799.6776936,0.399209839625,0.0484070565,0.39848602484472,"20221123","Queenless","20221123 Queenless"
"12","20221123_1543_AmericanoLatte_QL_ArUcoTag#21",0.476,2.239,0,2963.3582259875,72.98525149725,0.0502430741,0.003470238125,0,0,369.34980424,0.00320153065,6.756550816825,0.07132308545,3657.471241325,0.02308163265,72.2974295675,0.102596485275,8.559911507975,0.6515566935,0.641814416425,4.8118774447,0.49801104805,65,1007.392957,0.46582210535,0.024714140375,0.212594908441268,"20221123","Queenless","20221123 Queenless"
"13","20221123_1543_AmericanoLatte_QL_ArUcoTag#22",NA,NA,0,5055.08148275,106.6535174165,0.104995254025,0.01162585035,0,0,534.8948945575,0.004960884325,8.977070753075,0.123206197925,4404.521644825,0.026175170125,84.8804152015,0.1418503573,9.401834971475,0.78642473285,0.74839020325,5.557952091125,0.572428925225,25,842.747355,0.445538459375,0.0393376625,NA,"20221123","Queenless","20221123 Queenless"
"14","20221123_1543_AmericanoLatte_QL_ArUcoTag#23",0.774,2.5735,1,8220.80263655,126.5205256385,0.17423293665,0.046242347025,0,0,678.58362457,0.01638945585,10.2052201864,0.1600274282,4863.50095265,0.0272108843,88.33676562475,0.16278555085,11.379285718575,0.815103814325,0.778702897525,6.053089921125,0.6747051341,48,602.2746288,0.47983733165,0.050396979025,0.300757722945405,"20221123","Queenless","20221123 Queenless"
"15","20221123_1543_AmericanoLatte_QL_ArUcoTag#24",0.582,2.691,1,6768.443616725,124.53353547125,0.1553331289,0.03645153065,0,0,613.32885504,0.020623299375,10.194061297525,0.1559002293,3907.4790095,0.0186539116,82.60440970675,0.14076120105,10.85117047895,0.8720356551,0.8427502575,5.50302796645,0.6399876889,40,541.1719568,0.450962579325,0.0500297681,0.216276477146042,"20221123","Queenless","20221123 Queenless"
"16","20221123_1543_AmericanoLatte_QL_ArUcoTag#26",0.8515,2.687,1,8793.7142779,132.00376610225,0.21125488205,0.061517857125,0,0,743.5489691575,0.0378971089,11.077776536575,0.1871093157,4714.670529,0.026124149725,87.88725537225,0.167632174575,11.7767520324,0.867889324475,0.839744994625,7.037771171325,0.74417869285,33,647.4346357,0.500084817175,0.055681760775,0.316896166728694,"20221123","Queenless","20221123 Queenless"
"17","20221123_1543_AmericanoLatte_QL_ArUcoTag#27",0.8765,2.626,1,8796.5185251,133.97817479425,0.200869765575,0.0892329932,0,0,732.822478835,0.047141581725,11.012052378275,0.183052922725,5578.652956575,0.064135204125,95.17533877775,0.199147647275,11.47200848705,0.8497200167,0.80911277305,6.063962136225,0.715306774525,26,914.8130924,0.45049736345,0.056331593975,0.333777608530084,"20221123","Queenless","20221123 Queenless"
"18","20221123_1543_AmericanoLatte_QL_ArUcoTag#29",0.7035,2.6635,1,8614.814008475,137.45548231675,0.20948866695,0.094729591875,0,0,725.556345565,0.04293367345,11.194512724925,0.190381640475,5371.077010025,0.074037415,95.8761568765,0.20855208295,11.616223987925,0.884218140825,0.8513464404,5.914626926025,0.7056151375,41,543.167162,0.4437587201,0.055886247725,0.264126149802891,"20221123","Queenless","20221123 Queenless"
"19","20221123_1543_AmericanoLatte_QL_ArUcoTag#3",0.179,2.381,0,4625.811028625,74.8424011975,0.06247655559375,0.004413265375,0,0,595.045959725,0.00310799325,6.508327637875,0.083470198625,4405.301033875,0.01428571434375,61.9770355971563,0.08897550146875,7.86353337571875,0.44565369440625,0.42379394225,6.923652006,0.372365525375,6,358.6902208,0.47946987896875,0.02759238165625,0.0751784964300714,"20221123","Queenless","20221123 Queenless"
"20","20221123_1543_AmericanoLatte_QL_ArUcoTag#31",NA,NA,0,3365.459205525,93.0899874575,0.0828372959,0.0172712586,0,0,358.1501191625,0.005268282375,7.878003481575,0.0939832893,2869.035956575,0.021638605475,73.2315182275,0.109504553275,9.969047085,0.921657103875,0.90291623445,4.2394173909,0.5206670644,73,1239.18466,0.4545642976,0.03282263315,NA,"20221123","Queenless","20221123 Queenless"
"21","20221123_1543_AmericanoLatte_QL_ArUcoTag#32",0.8805,2.95,0,6365.113353075,114.575917057,0.1369813616,0.035049319675,0,0,768.85813548,0.0263869048,10.397483038475,0.17000012065,3721.03156525,0.0176343537,73.7140155345,0.119068515825,8.7062001906,0.777945072875,0.725109873175,9.0046908089,0.686083501375,14,237.1110631,0.422340122025,0.04372472585,0.298474576271186,"20221123","Queenless","20221123 Queenless"
"22","20221123_1543_AmericanoLatte_QL_ArUcoTag#35",NA,NA,0,3079.26109895,83.816448621,0.072181026325,0.007050170125,0,0,405.8506773825,0.0110884354,8.2146127972,0.10687033315,2827.797087425,0.020431972775,72.08338941025,0.10493196805,7.696703550375,0.91284054645,0.895221612175,5.29409227135,0.587059388725,71,1264.582039,0.668138003325,0.03305221635,NA,"20221123","Queenless","20221123 Queenless"
"23","20221123_1543_AmericanoLatte_QL_ArUcoTag#36",0.8205,2.5225,0,6787.17537015,128.13574576575,0.1667246989,0.041865646175,0,0,610.196501405,0.0170616497,10.39200828715,0.1623887752,4258.9745213,0.025517857175,87.82173361675,0.162391352525,11.04005513905,0.89894842025,0.8760051259,5.409251266575,0.631920607575,42,586.9315192,0.371547110375,0.050625614725,0.325272547076313,"20221123","Queenless","20221123 Queenless"
"24","20221123_1543_AmericanoLatte_QL_ArUcoTag#37",NA,NA,0,4231.667310175,103.0686208765,0.095444350675,0.010979591875,0,0,466.33869921,0.006392006875,8.955053968225,0.1164466081,3336.7799407,0.013935374125,78.90117010425,0.118200850775,9.02979857805,0.88389241785,0.859242315475,4.6641370085,0.56926445035,31,1332.557868,0.47020094345,0.0375174651,NA,"20221123","Queenless","20221123 Queenless"
"25","20221123_1543_AmericanoLatte_QL_ArUcoTag#38",NA,NA,0,5850.91391465,111.4867096,0.126943537125,0.021289115625,0,0,573.13827965,0.014531462625,9.64739602795,0.1400100723,3539.150307875,0.01485289115,78.1027507155,0.1236105776,9.9579742246,0.8732955864,0.847711907375,5.681852615675,0.686927115575,64,760.9181806,0.488981321975,0.043560264375,NA,"20221123","Queenless","20221123 Queenless"
